Data,H,|I|,Out_Acc,In_Acc,Sol_Time,MIP_Gap,Obj_Val,Obj_Bound,Model,HP_Time,HP_Obj,HP_Rank,FP_CB_Time,FP_Num_CB,FP_Cuts,FP_Cuts_per_CB,VIS_CB_Time,VIS_Num_CB,VIS_Cuts,Eps,Time_Limit,Rand_State,Warm_Start,Regularization,Max_Features
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.38245201110839844,0.0,35.0,35.0,CUT1,0.4197730291634798,linear,|F|-1,0,0,0,0,0.3736666142940521,2,0,0,600,138,False,None,None
soybean-small,2,35,0.8333333333333334,0.7714285714285715,0.37784719467163086,0.0,35.0,35.0,CUT1,0.4381617549806833,linear,|F|-1,0,0,0,0,0.37085892260074615,2,0,0,600,15,False,None,None
soybean-small,2,35,1.0,1.0,0.36761903762817383,0.0,35.0,35.0,CUT1,0.4258856661617756,linear,|F|-1,0,0,0,0,0.36158408038318157,2,0,0,600,89,False,None,None
soybean-small,2,35,0.9166666666666666,0.9142857142857143,0.3658280372619629,0.0,35.0,35.0,CUT1,0.42218017391860485,linear,|F|-1,0,0,0,0,0.35742272436618805,2,0,0,600,42,False,None,None
soybean-small,2,35,0.6666666666666666,0.9428571428571428,0.37577295303344727,0.0,35.0,35.0,CUT1,0.433282770216465,linear,|F|-1,0,0,0,0,0.36798795871436596,2,0,0,600,0,False,None,None
soybean-small,3,35,1.0,0.9714285714285714,0.40901899337768555,0.0,35.0,35.0,CUT1,0.47323236241936684,linear,|F|-1,0,0,0,0,0.39619817212224007,2,0,0,600,138,False,None,None
soybean-small,3,35,1.0,0.9714285714285714,0.38823795318603516,0.0,35.0,35.0,CUT1,0.44333372823894024,linear,|F|-1,0,0,0,0,0.3759881053119898,2,0,0,600,15,False,None,None
soybean-small,3,35,1.0,1.0,0.37840700149536133,0.0,35.0,35.0,CUT1,0.42946235090494156,linear,|F|-1,0,0,0,0,0.3637494519352913,2,0,0,600,89,False,None,None
soybean-small,3,35,0.9166666666666666,1.0,0.37326598167419434,0.0,35.0,35.0,CUT1,0.422141270712018,linear,|F|-1,0,0,0,0,0.3609442189335823,2,0,0,600,42,False,None,None
soybean-small,3,35,0.75,0.8,0.43625497817993164,0.0,35.0,35.0,CUT1,0.49576991982758045,linear,|F|-1,0,0,0,0,0.4128154180943966,2,0,0,600,0,False,None,None
soybean-small,4,35,1.0,0.9714285714285714,0.4433720111846924,0.0,35.0,35.0,CUT1,0.4820532388985157,linear,|F|-1,0,0,0,0,0.410154702141881,2,0,0,600,138,False,None,None
soybean-small,4,35,0.25,0.6285714285714286,0.507084846496582,0.0,35.0,35.0,CUT1,0.5801242049783468,linear,|F|-1,0,0,0,0,0.471201391890645,2,0,0,600,15,False,None,None
