Data,H,|I,Out_Acc,In_Acc,Sol_Time,Model,Warm_Start,Warm_Start_Time,Time_Limit,Rand_State,MIP_Gap,Obj_Val,Obj_Bound,VIS_Calls,VIS_Cuts,VIS_Time,HP_Time,FP_Time,FP_Num_CB,FP_Num_Cuts,Eps,Branch_Type
balance_scale,2,468,0.917197452,0.976495726,2.955832958,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
balance_scale,2,468,0.968152866,1,4.118226051,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
balance_scale,2,468,0.987261146,1,1.094688892,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
balance_scale,2,468,0.955414013,0.995726496,3.854434967,OCT-Multivariate,FALSE,0,600,42,0,0,0,,,,,,,,,
balance_scale,2,468,0.974522293,0.976495726,1.41760397,OCT-Multivariate,FALSE,0,600,0,0,0,0,,,,,,,,,
balance_scale,2,468,0.98089172,1,142.4581501,SOCT-Benders,None,0,600,138,0,468,468,2958,3186,125.6864171,0.077729328,,,,,
balance_scale,2,468,0.987261146,1,58.01167202,SOCT-Benders,None,0,600,15,0,468,468,1258,1330,53.51826739,0.096537607,,,,,
balance_scale,2,468,0.98089172,1,164.0290649,SOCT-Benders,None,0,600,89,0,468,468,3459,3790,146.8044569,0.096203335,,,,,
balance_scale,2,468,0.961783439,1,3.093955994,SOCT-Benders,None,0,600,42,0,468,468,67,66,2.788963318,0.095581498,,,,,
balance_scale,3,468,0.923566879,0.972222222,473.169997,OCT-Multivariate,FALSE,0,600,138,0,0,0,,,,,,,,,
balance_scale,3,468,0.917197452,0.985042735,49.4683609,OCT-Multivariate,FALSE,0,600,15,0,0,0,,,,,,,,,
balance_scale,2,468,0.98089172,1,171.1560981,SOCT-Benders,None,0,600,0,0,468,468,3575,3870,151.7763114,0.095675418,,,,,
balance_scale,3,468,0.904458599,0.967948718,113.379755,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
balance_scale,3,468,0.98089172,1,164.9145861,SOCT-Benders,None,0,600,138,0,468,468,2159,5315,143.2773364,0.075435722,,,,,
balance_scale,3,468,0.821656051,0.901709402,600.001734,OCT-Multivariate,FALSE,0,600,42,1,0,0.061965812,,,,,,,,,
balance_scale,3,468,0.891719745,0.927350427,600.0125051,SOCT-Benders,None,0,600,15,0.078341014,468,434,6696,17440,447.9651344,0.046727419,,,,,
balance_scale,3,468,0.987261146,1,48.68277311,SOCT-Benders,None,0,600,89,0,468,468,761,1776,44.46476054,0.07311498,,,,,
balance_scale,3,468,0.942675159,1,61.951545,SOCT-Benders,None,0,600,42,0,468,468,845,2509,56.03259778,0.072145296,,,,,
balance_scale,3,468,0.987261146,1,66.03052306,SOCT-Benders,None,0,600,0,0,468,468,889,2576,59.40193915,0.073925788,,,,,
balance_scale,4,468,0.98089172,1,2.226042032,SOCT-Benders,None,0,600,138,0,468,468,14,52,1.088057041,0.072783297,,,,,
balance_scale,4,468,0.987261146,1,32.81375003,SOCT-Benders,None,0,600,15,0,468,468,317,1402,27.97778344,0.072688291,,,,,
balance_scale,4,468,0.987261146,1,5.162162066,SOCT-Benders,None,0,600,89,0,468,468,42,196,3.549970865,0.07371393,,,,,
balance_scale,4,468,0.942675159,1,48.51247001,SOCT-Benders,None,0,600,42,0,468,468,439,2583,41.28115439,0.073553041,,,,,
balance_scale,4,468,0.987261146,1,131.477356,SOCT-Benders,None,0,600,0,0,468,468,1122,5412,103.8551991,0.073101193,,,,,
balance_scale,5,468,0.968152866,1,108.778547,SOCT-Benders,None,0,600,138,0,468,468,1216,1840,87.01573777,0.121289205,,,,,
balance_scale,5,468,0.974522293,1,8.678225994,SOCT-Benders,None,0,600,15,0,468,468,88,186,6.376219511,0.120502399,,,,,
balance_scale,3,468,0.847133758,0.942307692,600.0016971,OCT-Multivariate,FALSE,0,600,0,1,0,0.044871795,,,,,,,,,
balance_scale,5,468,0.929936306,0.918803419,600.056849,SOCT-Benders,None,0,600,89,0.088372093,468,430,3488,16804,391.0528817,0.04722549,,,,,
balance_scale,5,468,0.942675159,1,0.581207037,SOCT-Benders,None,0,600,42,0,468,468,3,21,0.200580597,0.072862765,,,,,
balance_scale,4,468,0.840764331,0.914529915,600.0037341,OCT-Multivariate,FALSE,0,600,138,1,0,0.055555556,,,,,,,,,
balance_scale,5,468,0.987261146,1,26.03424215,SOCT-Benders,None,0,600,0,0,468,468,219,697,20.30485463,0.074150005,,,,,
balance_scale,4,468,0.821656051,0.912393162,600.006022,OCT-Multivariate,FALSE,0,600,15,1,0,0.047008547,,,,,,,,,
car,2,1296,0.685185185,0.705246914,600.0909879,SOCT-Benders,None,0,600,138,0.417560175,1295.65,914,3609,9085,422.9671853,0,,,,,
balance_scale,4,468,0.929936306,0.993589744,414.0628719,OCT-Multivariate,FALSE,0,600,89,0,0,0,,,,,,,,,
car,2,1296,0.706018519,0.698302469,600.005424,SOCT-Benders,None,0,600,15,0.431399632,1295.416667,905,3176,7172,370.2895644,0,,,,,
balance_scale,4,468,0.840764331,0.88034188,600.0058169,OCT-Multivariate,FALSE,0,600,42,1,0,0.053418803,,,,,,,,,
car,2,1296,0.694444444,0.702160494,600.0847969,SOCT-Benders,None,0,600,89,0.423443223,1295.333333,910,3583,9308,420.8711264,0,,,,,
balance_scale,4,468,0.815286624,0.903846154,600.006773,OCT-Multivariate,FALSE,0,600,0,1,0,0.053418803,,,,,,,,,
car,2,1296,0.712962963,0.695987654,600.0190191,SOCT-Benders,None,0,600,42,0.436114313,1295.37511,902,3585,7340,419.8592076,0,,,,,
balance_scale,5,468,0.828025478,0.923076923,600.0242999,OCT-Multivariate,FALSE,0,600,138,1,0,0.042735043,,,,,,,,,
car,2,1296,0.703703704,0.699074074,600.060287,SOCT-Benders,None,0,600,0,0.430187638,1295.75,906,3613,8221,423.320787,0,,,,,
balance_scale,5,468,0.808917197,0.884615385,600.761622,OCT-Multivariate,FALSE,0,600,15,1,0,0.055555556,,,,,,,,,
car,3,1296,0.685185185,0.705246914,600.1524889,SOCT-Benders,None,0,600,138,0.417943107,1296,914,2825,10104,521.2768996,0,,,,,
balance_scale,5,468,0.834394904,0.920940171,600.1325071,OCT-Multivariate,FALSE,0,600,89,1,0,0.05982906,,,,,,,,,
car,3,1296,0.706018519,0.698302469,600.002562,SOCT-Benders,None,0,600,15,0.432044199,1296,905,2732,9318,495.2787652,0,,,,,
balance_scale,5,468,0.707006369,0.897435897,606.3202572,OCT-Multivariate,FALSE,0,600,42,1,0,0.057692308,,,,,,,,,
car,3,1296,0.694444444,0.702160494,600.0293839,SOCT-Benders,None,0,600,89,0.424175824,1296,910,2762,10214,505.9970973,0,,,,,
balance_scale,5,468,0.847133758,0.923076923,603.7739949,OCT-Multivariate,FALSE,0,600,0,1,0,0.061965812,,,,,,,,,
car,3,1296,0.712962963,0.695987654,600.0969279,SOCT-Benders,None,0,600,42,0.436807095,1296,902,2755,9809,505.651695,0,,,,,
car,2,1296,0.847222222,0.894290123,600.1405401,OCT-Multivariate,FALSE,0,600,138,1,0,0.093364198,,,,,,,,,
